,best,r_loss,epoch,historical
level: measure / type: <function pearson_sim at 0x7ff5997f5578> best,<function pearson_sim at 0x7ff5997f5578>,0.422383615,10,"[(11.216887417218542, 19.16390728476821, 43.99834437086093, 56.08443708609271, 71.06788079470199, 0.5913567224630621, 0.45116282686062587), (11.42384105960265, 20.15728476821192, 44.78476821192053, 59.02317880794702, 69.03973509933775, 0.5978402577136037, 0.4444678035600075), (9.7682119205298, 19.039735099337747, 43.04635761589404, 54.75993377483444, 65.97682119205298, 0.5693847159260564, 0.47614526390103434), (10.306291390728477, 19.577814569536425, 41.390728476821195, 55.091059602649004, 68.46026490066225, 0.5689607120780604, 0.47593945833902496), (8.774834437086092, 18.00496688741722, 43.294701986754966, 55.58774834437086, 68.75, 0.5911481189772991, 0.4513424954125431), (10.389072847682119, 18.460264900662253, 42.09437086092715, 55.836092715231786, 66.47350993377484, 0.5689889397053304, 0.47515352843386544), (13.493377483443709, 24.379139072847682, 46.854304635761586, 58.89900662251656, 70.57119205298014, 0.6069563028113589, 0.4361019898029295), (10.016556291390728, 20.81953642384106, 45.28145695364238, 56.20860927152318, 68.33609271523179, 0.5940041010234305, 0.4486597206979706), (11.713576158940397, 23.30298013245033, 47.47516556291391, 59.478476821192054, 71.56456953642385, 0.612582322100888, 0.4294112425551119), (10.678807947019868, 22.557947019867548, 48.22019867549669, 60.140728476821195, 72.10264900662251, 0.6179473562157864, 0.42238361497017035)]"
level: measure / type: <function eu_distance at 0x7ff5997f5758> best,<function eu_distance at 0x7ff5997f5758>,0.4658970695,1,"[(10.140728476821192, 22.392384105960264, 42.30132450331126, 50.7864238410596, 62.25165562913907, 0.5743854438517566, 0.465897069536532), (6.208609271523179, 16.473509933774835, 39.693708609271525, 55.42218543046358, 68.12913907284768, 0.5529567419171635, 0.4944076036746225), (8.02980132450331, 17.01158940397351, 40.93543046357616, 53.311258278145694, 65.23178807947019, 0.5362588247423296, 0.5111296460108303), (11.713576158940397, 21.85430463576159, 44.70198675496689, 57.533112582781456, 67.09437086092716, 0.5748747471086484, 0.46945157533405), (10.802980132450331, 18.501655629139073, 40.02483443708609, 52.40066225165563, 61.75496688741722, 0.5546516447133235, 0.48944961727879527), (8.899006622516556, 17.673841059602648, 39.94205298013245, 53.269867549668874, 62.913907284768214, 0.5378274089491568, 0.5106198064504209), (10.802980132450331, 18.625827814569536, 39.11423841059602, 49.29635761589404, 59.602649006622514, 0.5425282596917007, 0.5029157812089006), (10.927152317880795, 21.44039735099338, 44.57781456953642, 55.96026490066225, 70.48841059602648, 0.5720460522279655, 0.4746684140184579), (11.341059602649006, 20.653973509933774, 45.6953642384106, 58.15397350993378, 69.20529801324503, 0.574423124290876, 0.47192811071000595), (12.831125827814569, 21.06788079470199, 41.432119205298015, 53.5182119205298, 64.19701986754967, 0.5711502528528517, 0.4730668619892422)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7ff5997f5500> best,<function exponent_neg_manhattan_distance at 0x7ff5997f5500>,0.4508333537,2,"[(6.539735099337748, 16.68046357615894, 45.985099337748345, 59.02317880794702, 73.88245033112582, 0.5887119130338209, 0.4559599353353006), (13.410596026490067, 24.710264900662253, 45.6953642384106, 59.147350993377486, 71.06788079470199, 0.5905261913849297, 0.45083335367020116), (8.857615894039736, 22.061258278145694, 37.87251655629139, 53.228476821192054, 64.94205298013244, 0.558375743915913, 0.4832911593584314), (14.23841059602649, 20.9023178807947, 42.25993377483444, 51.158940397350996, 64.27980132450331, 0.5691182024981931, 0.47150652480500066), (9.933774834437086, 22.8476821192053, 39.98344370860927, 54.097682119205295, 65.52152317880795, 0.5449629171256407, 0.49815818870077244), (14.114238410596027, 21.233443708609272, 37.74834437086093, 51.53145695364238, 64.48675496688742, 0.5546785441560653, 0.4883492256023421), (8.443708609271523, 21.647350993377483, 41.63907284768212, 52.40066225165563, 64.44536423841059, 0.552578884883023, 0.4901211950571612), (15.314569536423841, 22.68211920529801, 41.05960264900662, 53.72516556291391, 64.8592715231788, 0.5621575476646836, 0.4799164173650442), (9.437086092715232, 17.218543046357617, 41.63907284768212, 53.55960264900662, 65.23178807947019, 0.555291114853369, 0.4879411554445641), (9.39569536423841, 19.49503311258278, 42.09437086092715, 54.18046357615894, 65.10761589403974, 0.5597444187881276, 0.48280146867481305)]"
level: measure / type: <function cosine_distance at 0x7ff5997f56e0> best,<function cosine_distance at 0x7ff5997f56e0>,0.446768968,4,"[(11.548013245033113, 22.557947019867548, 45.19867549668874, 56.33278145695364, 68.1705298013245, 0.5820112454939446, 0.4597651998614941), (13.16225165562914, 22.2682119205298, 44.370860927152314, 55.87748344370861, 66.97019867549669, 0.578217203188433, 0.4621149933232374), (11.920529801324504, 20.985099337748345, 44.45364238410596, 57.574503311258276, 70.15728476821192, 0.5901910950652566, 0.44981081338855494), (11.175496688741722, 19.660596026490065, 44.950331125827816, 58.27814569536424, 71.39900662251655, 0.5931433611591947, 0.44676896801689847), (11.051324503311259, 21.192052980132452, 43.54304635761589, 58.31953642384106, 68.99834437086092, 0.5817324337903443, 0.45877052654796613), (10.844370860927153, 20.653973509933774, 45.73675496688742, 57.16059602649007, 69.28807947019868, 0.5799939037090157, 0.4601325127470676), (10.05794701986755, 19.991721854304636, 43.50165562913907, 55.008278145695364, 67.88079470198676, 0.5794894635488717, 0.461361944890261), (10.637417218543046, 20.571192052980134, 40.769867549668874, 52.980132450331126, 64.61092715231788, 0.5531524879144242, 0.48880609270290803), (10.471854304635762, 19.660596026490065, 40.89403973509934, 54.59437086092715, 64.94205298013244, 0.5594562500212488, 0.4821802621830622), (11.382450331125828, 21.4817880794702, 45.033112582781456, 58.36092715231788, 69.5364238410596, 0.5841776465416825, 0.4566540607814468)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.4430596263,3,"[(8.112582781456954, 15.811258278145695, 41.10099337748344, 53.187086092715234, 64.23841059602648, 0.5429501962521013, 0.5041379895074627), (10.43046357615894, 20.695364238410598, 44.370860927152314, 57.24337748344371, 67.42549668874172, 0.5748424977680117, 0.46775465424557255), (10.140728476821192, 21.06788079470199, 45.943708609271525, 59.93377483443709, 69.57781456953643, 0.5980601981940311, 0.44305962634787627), (11.341059602649006, 21.233443708609272, 43.87417218543046, 55.21523178807947, 65.35596026490066, 0.5705693838114091, 0.4728395545068705), (12.831125827814569, 22.557947019867548, 44.45364238410596, 55.38079470198676, 65.8112582781457, 0.578091215551837, 0.46335026640405), (10.637417218543046, 19.49503311258278, 43.08774834437086, 55.008278145695364, 67.21854304635761, 0.5665393633801945, 0.4772420528168969), (11.382450331125828, 20.405629139072847, 42.71523178807947, 56.705298013245034, 68.12913907284768, 0.5819606390291719, 0.46068964875426704), (10.140728476821192, 18.915562913907284, 42.13576158940398, 53.145695364238414, 63.20364238410596, 0.5770364394498467, 0.4634818779238335), (9.02317880794702, 18.832781456953644, 45.52980132450331, 58.36092715231788, 70.24006622516556, 0.5946259925704513, 0.44588035011778687), (10.76158940397351, 18.294701986754966, 40.397350993377486, 53.72516556291391, 65.68708609271523, 0.5639834787108109, 0.47885967010687014)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.4499866586,8,"[(11.42384105960265, 20.985099337748345, 42.01158940397351, 55.13245033112583, 66.88741721854305, 0.5824329696275591, 0.4595945815806061), (8.733443708609272, 19.370860927152318, 45.28145695364238, 56.62251655629139, 68.87417218543047, 0.5848737621271191, 0.4577049252931849), (8.278145695364238, 19.205298013245034, 44.370860927152314, 58.89900662251656, 70.94370860927152, 0.5868364864839068, 0.4573954892686632), (10.140728476821192, 20.033112582781456, 47.806291390728475, 59.271523178807946, 69.3294701986755, 0.5869383733305324, 0.4554066488066537), (12.582781456953642, 20.198675496688743, 45.61258278145695, 59.437086092715234, 71.19205298013244, 0.5878514208505805, 0.45577731238375957), (9.975165562913908, 18.087748344370862, 44.78476821192053, 58.94039735099338, 68.87417218543047, 0.5748583875968815, 0.46986525121093686), (10.802980132450331, 19.826158940397352, 43.129139072847686, 54.63576158940398, 63.90728476821192, 0.5589308557215588, 0.48316882653121457), (11.092715231788079, 21.06788079470199, 44.49503311258278, 55.38079470198676, 67.21854304635761, 0.5917406255770253, 0.44998665860932124), (11.920529801324504, 19.5364238410596, 45.57119205298013, 57.491721854304636, 69.03973509933775, 0.5833182536337377, 0.45982632212180324), (11.051324503311259, 19.288079470198674, 43.211920529801326, 54.13907284768212, 66.88741721854305, 0.5810158516631714, 0.46227596236166546)]"
level: loss / type: <function contrastive_loss at 0x7ff5997f5488> best,<function contrastive_loss at 0x7ff5997f5488>,0.5238292706,2,"[(8.774834437086092, 16.0182119205298, 35.72019867549669, 46.60596026490066, 57.408940397350996, 0.5100393003580853, 0.5371450262015611), (8.567880794701987, 17.79801324503311, 38.32781456953642, 48.634105960264904, 57.0364238410596, 0.522796450490826, 0.523829270624411), (7.243377483443709, 15.769867549668874, 35.72019867549669, 48.96523178807947, 56.20860927152318, 0.490099709473271, 0.5596437681534585), (7.533112582781457, 16.721854304635762, 39.32119205298013, 49.87582781456954, 59.147350993377486, 0.5002926368311783, 0.5490855634675026), (6.167218543046357, 14.528145695364238, 38.61754966887417, 48.716887417218544, 57.78145695364238, 0.504030321969958, 0.5463449847667807), (6.58112582781457, 16.804635761589402, 40.97682119205298, 50.413907284768214, 59.02317880794702, 0.5033660776196245, 0.5467527684247104), (6.4155629139072845, 15.728476821192054, 34.478476821192054, 45.65397350993378, 57.408940397350996, 0.48507595076083604, 0.565590334896675), (9.35430463576159, 17.9635761589404, 36.961920529801326, 47.55794701986755, 57.24337748344371, 0.49619396580419795, 0.5514429803899515), (6.663907284768212, 15.562913907284768, 37.12748344370861, 48.17880794701987, 57.74006622516556, 0.5118897379237949, 0.5364327712958167), (7.160596026490066, 16.225165562913908, 37.83112582781457, 47.682119205298015, 56.49834437086093, 0.49864281236220515, 0.5488705966262453)]"
level: cnn / type: 0 best,0,0.4278901863,5,"[(9.933774834437086, 21.93708609271523, 47.39238410596027, 58.89900662251656, 68.25331125827815, 0.600202684492465, 0.4411837194316742), (12.789735099337749, 24.337748344370862, 48.26158940397351, 59.271523178807946, 68.29470198675497, 0.6024285076941749, 0.438880932187321), (14.321192052980132, 23.758278145695364, 45.902317880794705, 58.11258278145695, 67.67384105960265, 0.5890658813998814, 0.4521157685024797), (11.051324503311259, 20.695364238410598, 43.170529801324506, 55.96026490066225, 68.37748344370861, 0.5880550103219903, 0.452844259214901), (12.168874172185431, 22.392384105960264, 48.758278145695364, 61.63079470198676, 71.52317880794702, 0.6118670225062407, 0.4278901863215995), (11.920529801324504, 22.516556291390728, 45.44701986754967, 57.24337748344371, 69.70198675496688, 0.600268665882253, 0.43941572053071376), (7.905629139072848, 18.04635761589404, 42.25993377483444, 56.33278145695364, 66.76324503311258, 0.5683800825749465, 0.47466533690847096), (10.637417218543046, 18.37748344370861, 43.253311258278146, 54.884105960264904, 67.59105960264901, 0.5733144097006242, 0.47031610589557604), (10.306291390728477, 19.826158940397352, 45.81953642384106, 60.182119205298015, 70.94370860927152, 0.5900390146878092, 0.4517847561557388), (12.996688741721854, 22.806291390728475, 46.60596026490066, 58.73344370860927, 69.74337748344371, 0.5928314521661989, 0.4488490699232811)]"
level: sample_weight / type: True best,True,0.4571373036,5,"[(9.7682119205298, 20.653973509933774, 44.45364238410596, 55.794701986754966, 64.23841059602648, 0.5785768478054923, 0.46364130419800953), (9.478476821192054, 20.653973509933774, 44.329470198675494, 56.788079470198674, 69.70198675496688, 0.5760890037812254, 0.46906921936869345), (9.561258278145695, 18.998344370860927, 44.288079470198674, 56.663907284768214, 67.9635761589404, 0.5813216938201778, 0.46138764781294966), (8.609271523178808, 16.887417218543046, 42.9635761589404, 59.10596026490066, 71.31622516556291, 0.5777053553154081, 0.46657885811165417), (11.506622516556291, 22.2682119205298, 45.86092715231788, 59.85099337748344, 71.39900662251655, 0.5866200881802209, 0.4571373035563968), (8.567880794701987, 18.253311258278146, 43.211920529801326, 60.01655629139073, 71.60596026490066, 0.5828011476346809, 0.46176750914053705), (9.35430463576159, 16.804635761589402, 43.41887417218543, 57.533112582781456, 67.09437086092716, 0.557455619212551, 0.48752202947628054), (8.816225165562914, 17.71523178807947, 42.67384105960265, 55.836092715231786, 69.03973509933775, 0.5671119943989267, 0.47735383176912694), (9.02317880794702, 17.301324503311257, 44.370860927152314, 58.23675496688742, 69.95033112582782, 0.5763113172828574, 0.4683645332911256), (9.105960264900663, 16.97019867549669, 39.11423841059602, 51.61423841059602, 60.182119205298015, 0.5273768868160095, 0.5188458920208043)]"
level: sample_weight / type: False best,False,0.4438888458,9,"[(9.188741721854305, 16.183774834437084, 40.89403973509934, 52.897350993377486, 62.83112582781457, 0.5387206410776849, 0.5064217171744197), (11.092715231788079, 23.468543046357617, 44.5364238410596, 55.049668874172184, 65.8112582781457, 0.5814955658802513, 0.45981792614389033), (9.644039735099337, 18.501655629139073, 43.253311258278146, 58.11258278145695, 68.66721854304636, 0.5883827343433274, 0.45330471961704916), (10.099337748344372, 18.33609271523179, 40.687086092715234, 53.43543046357616, 64.27980132450331, 0.5561794043590891, 0.48631983627710645), (8.402317880794701, 17.71523178807947, 41.432119205298015, 55.42218543046358, 66.43211920529801, 0.5588837904163507, 0.48580560891247), (9.72682119205298, 17.75662251655629, 43.75, 57.11920529801324, 66.76324503311258, 0.5703346378115165, 0.47412350092825845), (10.76158940397351, 19.908940397350992, 46.15066225165563, 56.95364238410596, 67.9635761589404, 0.5902427627860765, 0.4528108509435204), (9.271523178807946, 18.33609271523179, 46.730132450331126, 59.354304635761586, 70.03311258278146, 0.5942946043454489, 0.4469947810840634), (10.513245033112582, 19.619205298013245, 45.77814569536424, 57.65728476821192, 67.59105960264901, 0.5966646936410391, 0.44388884583688837), (10.596026490066226, 17.549668874172184, 39.90066225165563, 49.87582781456954, 57.615894039735096, 0.5142204691708765, 0.5335399109936507)]"
level: ingredients / type: True best,True,0.4462634991,6,"[(14.058355437665783, 26.02785145888594, 47.778514588859416, 59.05172413793103, 69.06498673740053, 0.5471053799602364, 0.5031649871536704), (13.461538461538462, 24.90053050397878, 51.657824933687, 62.86472148541114, 71.38594164456234, 0.5588785206725091, 0.4902435087888983), (10.941644562334217, 22.911140583554378, 49.70159151193634, 61.704244031830235, 72.77851458885942, 0.5636739876517045, 0.4856451350751487), (14.323607427055704, 25.43103448275862, 54.177718832891244, 64.4893899204244, 73.6737400530504, 0.5853878090995561, 0.4613268236544972), (13.26259946949602, 26.823607427055702, 51.52519893899204, 62.13527851458886, 72.94429708222812, 0.5849919848805818, 0.4616607400618987), (14.290450928381963, 27.486737400530505, 54.741379310344826, 65.18567639257294, 74.86737400530504, 0.5985712671279229, 0.4462634991023061), (13.892572944297083, 27.022546419098145, 54.07824933687002, 64.65517241379311, 73.14323607427056, 0.5874606047785373, 0.457737205555857), (11.273209549071618, 24.370026525198938, 54.07824933687002, 65.25198938992042, 74.1710875331565, 0.5794675527184461, 0.4671829769159362), (12.63262599469496, 22.645888594164457, 51.02785145888594, 62.0026525198939, 71.81697612732096, 0.5703473123944488, 0.47807654788690146), (13.793103448275861, 25.56366047745358, 52.254641909814325, 64.05835543766578, 74.5026525198939, 0.5881858231744757, 0.4577143046643431)]"
level: ingredients / type: False best,False,0.4070708355,9,"[(9.664979513135695, 22.487346348517715, 48.7587370450711, 61.36418414075681, 73.99373342974211, 0.5783562222335573, 0.47037021066835066), (10.629067245119305, 23.355025307302963, 49.57821161725717, 62.49698722583755, 75.87370450711015, 0.5955048834100133, 0.4515707754091951), (12.05109664979513, 23.041696794408292, 50.01205109664979, 63.79850566401542, 77.72957339117859, 0.6118144725333938, 0.43005837868642366), (12.72595806218366, 23.90937575319354, 48.73463485177151, 63.46107495782116, 76.9824053988913, 0.6043773503909176, 0.4410533467256733), (14.919257652446372, 26.199084116654614, 50.807423475536275, 62.88262231863099, 76.11472644010605, 0.6124045604496247, 0.42903988863266546), (14.316702819956616, 28.030850807423477, 53.48276693179079, 63.581585924319114, 78.74186550976138, 0.625690002258418, 0.4144549021487586), (14.075680886960713, 26.51241262954929, 53.00072306579899, 64.54567365630272, 76.09062424680646, 0.6084203810507461, 0.43421758743367195), (14.051578693661122, 23.547842853699688, 49.62641600385635, 62.47288503253796, 74.35526632923596, 0.5884597093509945, 0.4555883558641805), (16.052060737527114, 28.27187274041938, 55.796577488551456, 69.41431670281996, 79.82646420824295, 0.6358637071399205, 0.40707083546425804), (14.509520366353339, 25.548324897565678, 54.591467823571946, 67.36563027235478, 78.18751506387082, 0.6174343026502666, 0.4254395359832067)]"
